company_name,linkedin_url,date,number_of_senior_hires,number_of_other_hires
apple,https://www.linkedin.com/company/apple/,February 2023,0,22459
microsoft,https://www.linkedin.com/company/microsoft,February 2021,0,3024
microsoft,https://www.linkedin.com/company/microsoft,March 2021,0,4395
microsoft,https://www.linkedin.com/company/microsoft,April 2021,0,3888
microsoft,https://www.linkedin.com/company/microsoft,May 2021,0,6168
microsoft,https://www.linkedin.com/company/microsoft,June 2021,0,6414
microsoft,https://www.linkedin.com/company/microsoft,July 2021,0,4934
microsoft,https://www.linkedin.com/company/microsoft,August 2021,0,5683
microsoft,https://www.linkedin.com/company/microsoft,September 2021,0,5083
microsoft,https://www.linkedin.com/company/microsoft,October 2021,0,4969
microsoft,https://www.linkedin.com/company/microsoft,November 2021,0,4812
microsoft,https://www.linkedin.com/company/microsoft,December 2021,0,3907
microsoft,https://www.linkedin.com/company/microsoft,January 2022,2,5769
microsoft,https://www.linkedin.com/company/microsoft,February 2022,9,4085
microsoft,https://www.linkedin.com/company/microsoft,March 2022,19,4446
microsoft,https://www.linkedin.com/company/microsoft,April 2022,7,4328
microsoft,https://www.linkedin.com/company/microsoft,May 2022,14,8761
microsoft,https://www.linkedin.com/company/microsoft,June 2022,19,6013
microsoft,https://www.linkedin.com/company/microsoft,July 2022,16,4846
microsoft,https://www.linkedin.com/company/microsoft,August 2022,17,4580
microsoft,https://www.linkedin.com/company/microsoft,September 2022,13,3248
microsoft,https://www.linkedin.com/company/microsoft,October 2022,16,2845
microsoft,https://www.linkedin.com/company/microsoft,November 2022,11,1856
microsoft,https://www.linkedin.com/company/microsoft,December 2022,7,932
microsoft,https://www.linkedin.com/company/microsoft,January 2023,11,1389
microsoft,https://www.linkedin.com/company/microsoft,February 2023,2,598
google,https://www.linkedin.com/company/google/,February 2021,0,2802
google,https://www.linkedin.com/company/google/,March 2021,0,2423
google,https://www.linkedin.com/company/google/,April 2021,0,2542
google,https://www.linkedin.com/company/google/,May 2021,0,3851
google,https://www.linkedin.com/company/google/,June 2021,0,4278
google,https://www.linkedin.com/company/google/,July 2021,0,3895
google,https://www.linkedin.com/company/google/,August 2021,0,3900
google,https://www.linkedin.com/company/google/,September 2021,0,3847
google,https://www.linkedin.com/company/google/,October 2021,0,3488
google,https://www.linkedin.com/company/google/,November 2021,0,3444
google,https://www.linkedin.com/company/google/,December 2021,0,2722
google,https://www.linkedin.com/company/google/,January 2022,0,4562
google,https://www.linkedin.com/company/google/,February 2022,4,3358
google,https://www.linkedin.com/company/google/,March 2022,17,3586
google,https://www.linkedin.com/company/google/,April 2022,15,3953
google,https://www.linkedin.com/company/google/,May 2022,23,6831
google,https://www.linkedin.com/company/google/,June 2022,7,5424
google,https://www.linkedin.com/company/google/,July 2022,14,5881
google,https://www.linkedin.com/company/google/,August 2022,18,4698
google,https://www.linkedin.com/company/google/,September 2022,20,2924
google,https://www.linkedin.com/company/google/,October 2022,14,2152
google,https://www.linkedin.com/company/google/,November 2022,18,2591
google,https://www.linkedin.com/company/google/,December 2022,7,1001
google,https://www.linkedin.com/company/google/,January 2023,11,1145
google,https://www.linkedin.com/company/google/,February 2023,0,378
tesla,https://www.linkedin.com/company/tesla/,,,
tesla-motors,https://www.linkedin.com/company/tesla-motors/,February 2021,1,1223
tesla-motors,https://www.linkedin.com/company/tesla-motors/,March 2021,0,1200
tesla-motors,https://www.linkedin.com/company/tesla-motors/,April 2021,0,1098
tesla-motors,https://www.linkedin.com/company/tesla-motors/,May 2021,0,1367
tesla-motors,https://www.linkedin.com/company/tesla-motors/,June 2021,0,1337
tesla-motors,https://www.linkedin.com/company/tesla-motors/,July 2021,0,1045
tesla-motors,https://www.linkedin.com/company/tesla-motors/,August 2021,0,1484
tesla-motors,https://www.linkedin.com/company/tesla-motors/,September 2021,0,1397
tesla-motors,https://www.linkedin.com/company/tesla-motors/,October 2021,1,1106
tesla-motors,https://www.linkedin.com/company/tesla-motors/,November 2021,3,1203
tesla-motors,https://www.linkedin.com/company/tesla-motors/,December 2021,0,921
tesla-motors,https://www.linkedin.com/company/tesla-motors/,January 2022,0,1811
tesla-motors,https://www.linkedin.com/company/tesla-motors/,February 2022,0,1077
tesla-motors,https://www.linkedin.com/company/tesla-motors/,March 2022,0,1016
tesla-motors,https://www.linkedin.com/company/tesla-motors/,April 2022,0,1152
tesla-motors,https://www.linkedin.com/company/tesla-motors/,May 2022,1,1924
tesla-motors,https://www.linkedin.com/company/tesla-motors/,June 2022,2,1493
tesla-motors,https://www.linkedin.com/company/tesla-motors/,July 2022,0,1132
tesla-motors,https://www.linkedin.com/company/tesla-motors/,August 2022,0,2006
tesla-motors,https://www.linkedin.com/company/tesla-motors/,September 2022,0,2111
tesla-motors,https://www.linkedin.com/company/tesla-motors/,October 2022,0,1810
tesla-motors,https://www.linkedin.com/company/tesla-motors/,November 2022,1,1499
tesla-motors,https://www.linkedin.com/company/tesla-motors/,December 2022,1,1405
tesla-motors,https://www.linkedin.com/company/tesla-motors/,January 2023,0,3064
tesla-motors,https://www.linkedin.com/company/tesla-motors/,February 2023,0,1702
